runtime,bulk_type,episode_id,series_name,key,season_number,s_no,s_id,ep_no,user_id,created_at,ep_id,episode_number,gsi,total_movies_runtime,total_series_runtime,updated_at,series_follow_count,movie_watch_count,ep_watch_count,followed_at,most_recent_ep_watched,is_for_later,is_followed,uuid,is_archived,is_unitary,is_special,rewatch_count
,,,Ghost Whisperer,user-series-0bfd7c87-1ef3-42bb-a4a2-c71731faadf5,,,78817,,75120118,2025-05-04 15:08:59,,,,,,2025-05-04 15:08:59,,,107,1746371339590626,map[ep_id:1.968751e+06 ep_no:22 s_no:5 uuid:ec726a5f-db8b-485c-96a8-efcc22b7942d watch_date:1.74637133978436e+15],false,true,0bfd7c87-1ef3-42bb-a4a2-c71731faadf5,false,,,
,,,Legion,user-series-0e6e73fa-0aa1-4a4d-9af6-685107ea3ae4,,,320724,,75120118,2024-05-15 18:23:56,,,,,,2024-05-15 18:25:03,,,27,1715797436286344,map[ep_id:7.231367e+06 ep_no:8 s_no:3 uuid:c4e4695f-fdef-4dbf-af9f-af1bf91e2abe watch_date:1.715797501691292e+15],false,true,0e6e73fa-0aa1-4a4d-9af6-685107ea3ae4,false,,,
,,,You,user-series-0f48bb64-4fcc-4b33-9077-7bcf07a1fa10,,,336924,,75120118,2024-05-15 04:13:00,,,,,,2025-04-26 00:21:42,,,50,1715746380986771,map[ep_id:1.092039e+07 ep_no:10 s_no:5 uuid:b8d6e2fa-b8ee-4d0e-a356-3f6621073fb4 watch_date:1.745626902957522e+15],false,true,0f48bb64-4fcc-4b33-9077-7bcf07a1fa10,false,,,
,,,Dune: Prophecy,user-series-0fac40db-2c31-48c9-b4bb-15330e342244,,,367118,,75120118,2024-11-28 04:16:11,,,,,,2025-01-02 17:29:11,,,6,1732767371928647,map[ep_id:1.0748927e+07 ep_no:6 s_no:1 uuid:33100bba-58be-4b05-a0fe-7aa7b415c0d9 watch_date:1.735838951508577e+15],false,true,0fac40db-2c31-48c9-b4bb-15330e342244,false,,,
,,,Ironheart,user-series-11e46101-4e48-4bca-b9e2-41cd0ab8e3d2,,,393204,,75120118,2025-06-26 03:31:07,,,,,,2025-07-12 05:55:27,,,6,1750908667414704,map[ep_id:1.0818062e+07 ep_no:6 s_no:1 uuid:1ba2d9bc-390c-481d-9bee-4412464b4e16 watch_date:1.752299727227499e+15],false,true,11e46101-4e48-4bca-b9e2-41cd0ab8e3d2,false,,,
,,,Big Sky (2020),user-series-12b47981-d0b6-4aea-9f28-07af66b0c2a2,,,378023,,75120118,2025-01-09 11:36:13,,,,,,2025-01-09 11:36:20,,,47,1736422573398225,map[ep_id:9.444291e+06 ep_no:13 s_no:3 uuid:d84ec898-4cd6-422b-a0cf-1fc5d9165845 watch_date:1.736422580101006e+15],false,true,12b47981-d0b6-4aea-9f28-07af66b0c2a2,false,,,
,,,Reacher,user-series-12fef8ee-8653-4c16-af5a-26c62dce8c90,,,366924,,75120118,2025-02-22 00:44:45,,,,,,2025-03-27 15:36:59,,,24,1740185085797376,map[ep_id:1.0845852e+07 ep_no:8 s_no:3 uuid:5af880bd-ceb3-46fd-8fe9-99a84f6b699b watch_date:1.743089819003616e+15],false,true,12fef8ee-8653-4c16-af5a-26c62dce8c90,false,,,
,,,The Walking Dead: World Beyond,user-series-13d76e60-6a50-4e9f-b2ee-340902dd1875,,,372787,,75120118,2024-11-21 20:21:09,,,,,,2024-11-21 20:22:13,,,20,1732220469448752,map[ep_id:8.483248e+06 ep_no:10 s_no:2 uuid:2bd1f34c-2e48-4109-bf4b-0d60bed66934 watch_date:1.732220531805777e+15],false,true,13d76e60-6a50-4e9f-b2ee-340902dd1875,false,,,
,,,Titans (2018),user-series-15f5b6e0-8be0-4f4f-bf1c-c52723322570,,,341663,,75120118,2024-05-15 18:23:04,,,,,,2024-05-15 18:27:20,,,49,1715797384300434,map[ep_id:9.41842e+06 ep_no:12 s_no:4 uuid:e484cb7f-b558-4128-8a39-7510d0f29600 watch_date:1.715797640347374e+15],false,true,15f5b6e0-8be0-4f4f-bf1c-c52723322570,false,,,
,,,The Falcon and The Winter Soldier,user-series-1763c8a3-9a48-47c6-9743-332ad05c9ef5,,,362496,,75120118,2024-05-15 18:23:32,,,,,,2024-05-15 18:26:09,,,6,1715797412128411,map[ep_id:8.238362e+06 ep_no:6 s_no:1 uuid:afb24dd9-1867-4424-9631-05547644c80b watch_date:1.715797569970054e+15],false,true,1763c8a3-9a48-47c6-9743-332ad05c9ef5,false,,,
,,,Outer Banks,user-series-1850ef09-d6c0-4367-9f40-89cf51bb5329,,,379169,,75120118,2024-05-15 18:22:47,,,,,,2024-11-11 14:24:00,,,40,1715797367721652,map[ep_id:1.0652156e+07 ep_no:10 s_no:4 uuid:4dafaf35-062c-4d05-b513-975b720963c4 watch_date:1.731335040580845e+15],false,true,1850ef09-d6c0-4367-9f40-89cf51bb5329,false,,,
,,,Talamasca: The Secret Order,user-series-1aba3d3f-1964-4688-b254-fbfcfe3212b0,,,433933,,75120118,2025-12-04 01:31:18,,,,,,2025-12-04 01:31:24,,,6,1764811878893189,map[ep_id:1.1170708e+07 ep_no:6 s_no:1 uuid:781cca1a-81da-4e0e-96c6-d5c996860fe2 watch_date:1.764811884270429e+15],false,true,1aba3d3f-1964-4688-b254-fbfcfe3212b0,false,,,
,,,Chuck,user-series-1b761ee9-37c0-4018-83c6-d32737c79e0e,,,80348,,75120118,2024-05-15 18:24:09,,,,,,2024-05-15 18:24:38,,,91,1715797449478938,map[ep_id:4.204789e+06 ep_no:13 s_no:5 uuid:ae7ef6a7-50e7-4b29-9ee7-93173114a6c6 watch_date:1.71579747840679e+15],false,true,1b761ee9-37c0-4018-83c6-d32737c79e0e,false,,,
,,,Under the Dome,user-series-1ed04f80-f923-49de-8c6d-eb030c4e5df4,,,264492,,75120118,2024-05-15 18:30:34,,,,,,2024-05-15 18:33:44,,,39,1715797834536063,map[ep_id:5.268867e+06 ep_no:13 s_no:3 uuid:d8cf61f4-bdf3-4d3e-b978-86187c5ce9db watch_date:1.715798023927766e+15],false,true,1ed04f80-f923-49de-8c6d-eb030c4e5df4,false,,,
,,,The Magicians (2015),user-series-2017e046-938b-4674-94cb-bbda7d137430,,,299139,,75120118,2024-05-29 20:55:49,,,,,,2024-06-01 17:44:39,,,65,1717016149428069,map[ep_id:7.533461e+06 ep_no:13 s_no:5 uuid:155ba326-3daa-4c02-8444-cf0db5300f98 watch_date:1.717263879361486e+15],false,true,2017e046-938b-4674-94cb-bbda7d137430,false,,,
,,,Fallout,user-series-204394e8-0ec6-49a5-adc9-9daf6628c101,,,416744,,75120118,2024-05-15 18:17:54,,,,,,2026-02-05 00:23:07,,,16,1715797074193538,map[ep_id:1.1296177e+07 ep_no:8 s_no:2 uuid:d7803940-95ab-48bd-89d4-df12b86835a0 watch_date:1.770250987307077e+15],false,true,204394e8-0ec6-49a5-adc9-9daf6628c101,false,,,
,,,Obi-Wan Kenobi,user-series-20795222-15f3-4865-a13d-b9dce3e2e86b,,,393199,,75120118,2024-05-29 10:52:08,,,,,,2024-05-29 10:52:46,,,6,1716979928639704,map[ep_id:9.083891e+06 ep_no:6 s_no:1 uuid:e851debf-d271-4bed-82f1-f363cb9eb470 watch_date:1.716979966218842e+15],false,true,20795222-15f3-4865-a13d-b9dce3e2e86b,false,,,
,,,Marvel's Agents of S.H.I.E.L.D.,user-series-20c6b1f9-a06d-4f47-a5dc-4b65cf9fc7cc,,,263365,,75120118,2024-05-15 18:23:16,,,,,,2024-05-15 18:26:47,,,136,1715797396882534,map[ep_id:7.836373e+06 ep_no:13 s_no:7 uuid:4ebe9206-a27d-42ea-95f8-300215d18d98 watch_date:1.715797606596227e+15],false,true,20c6b1f9-a06d-4f47-a5dc-4b65cf9fc7cc,false,,,
,,,The Witcher,user-series-24103834-63c7-4528-b27d-5df787c89fa7,,,362696,,75120118,2024-05-15 04:13:02,,,,,,2025-10-31 18:30:59,,,32,1715746382687865,map[ep_id:1.1355518e+07 ep_no:8 s_no:4 uuid:949c319c-a40a-4098-b037-96b6bc89ece4 watch_date:1.761935459476457e+15],false,true,24103834-63c7-4528-b27d-5df787c89fa7,false,,,
,,,Blindspot,user-series-24ab895a-31e7-4e54-821e-5cdf533425ab,,,295647,,75120118,2024-05-15 18:23:05,,,,,,2024-05-15 18:27:14,,,100,1715797385931211,map[ep_id:7.666863e+06 ep_no:11 s_no:5 uuid:e1bcd375-8e61-4ed4-bcc4-69a3e66252c8 watch_date:1.715797634923346e+15],false,true,24ab895a-31e7-4e54-821e-5cdf533425ab,false,,,
,,,Shameless (US),user-series-260d85e8-6bbc-4d49-89dc-67ae8dbf6436,,,161511,,75120118,2024-08-27 21:51:00,,,,,,2025-10-20 10:26:50,,,133,1724795460480844,map[ep_id:8.210601e+06 ep_no:12 s_no:11 uuid:56dd7f62-9f3f-4275-b0e3-47b69327fb50 watch_date:1.760956010205563e+15],false,true,260d85e8-6bbc-4d49-89dc-67ae8dbf6436,false,,,
,,,Game of Thrones,user-series-287af253-6403-4c36-80f0-149b0188f371,,,121361,,75120118,2024-05-15 04:12:56,,,,,,2024-05-15 18:16:10,,,73,1715746376806642,map[ep_id:7.121405e+06 ep_no:6 s_no:8 uuid:950d7457-0ce9-48da-b31d-f154d5003313 watch_date:1.715796969746407e+15],false,true,287af253-6403-4c36-80f0-149b0188f371,false,,,
,,,Paris Has Fallen,user-series-2c276da7-f2fb-4bb7-a348-4aebdc210fc4,,,440843,,75120118,2024-10-20 01:10:48,,,,,,2024-11-07 19:59:38,,,8,1729386648217844,map[ep_id:1.0666491e+07 ep_no:8 s_no:1 uuid:b8d8f360-c06d-41ee-9926-5ae2cc8d8254 watch_date:1.731009578405002e+15],false,true,2c276da7-f2fb-4bb7-a348-4aebdc210fc4,false,,,
,,,ONE PIECE (2023),user-series-2c782f42-c7d7-4342-82fe-58f881891fe4,,,392276,,75120118,2026-03-11 20:48:59,,,,,,2026-03-12 12:36:12,,,16,1773262139940732,map[ep_id:1.1426058e+07 ep_no:8 s_no:2 uuid:aac42f13-1099-4ff5-84da-2b7d9d6c49cd watch_date:1.77331897224168e+15],false,true,2c782f42-c7d7-4342-82fe-58f881891fe4,false,,,
,,,NCIS,user-series-2ca312fd-3e09-4c70-938d-b01c17568b28,,,72108,,75120118,2024-05-15 18:16:49,,,,,,2026-05-14 15:23:44,,,508,1715797009447554,map[ep_id:1.1703612e+07 ep_no:20 s_no:23 uuid:779cd663-c11c-405f-b682-b98933d944a5 watch_date:1.778772224771531e+15],false,true,2ca312fd-3e09-4c70-938d-b01c17568b28,false,,,
,,,Wednesday,user-series-30205a1d-3e64-4c03-928a-8de4a18095b6,,,397060,,75120118,2024-05-15 04:12:59,,,,,,2025-09-05 00:55:55,,,16,1715746379856593,map[ep_id:1.1100621e+07 ep_no:8 s_no:2 uuid:8abd0411-afef-427a-b6d2-f82b094f3d66 watch_date:1.757033755008446e+15],false,true,30205a1d-3e64-4c03-928a-8de4a18095b6,false,,,
,,,Tales of the Walking Dead,user-series-315fd242-f640-4e6a-84fb-f47be0a4f4ae,,,411314,,75120118,2024-11-21 20:21:12,,,,,,2024-11-21 20:21:47,,,6,1732220472604623,map[ep_id:9.286256e+06 ep_no:6 s_no:1 uuid:8ae203b5-55ea-4197-834c-8c180a03fcb1 watch_date:1.732220507242113e+15],false,true,315fd242-f640-4e6a-84fb-f47be0a4f4ae,false,,,
,,,SEAL Team,user-series-38ad63f8-f0b3-4fe9-b6c7-f378d1c3f52e,,,328686,,75120118,2024-09-05 02:08:18,,,,,,2024-10-10 19:36:21,,,114,1725502098487652,map[ep_id:1.0561909e+07 ep_no:10 s_no:7 uuid:10664626-0072-4189-8be3-22197615d3d1 watch_date:1.72858898128035e+15],false,true,38ad63f8-f0b3-4fe9-b6c7-f378d1c3f52e,false,,,
,,,The OA,user-series-40e122b0-4581-46a8-a526-166b05982642,,,321060,,75120118,2024-05-15 18:30:15,,,,,,2024-05-15 18:33:49,,,16,1715797815504293,map[ep_id:7.091506e+06 ep_no:8 s_no:2 uuid:34114579-d8a9-4642-8a6b-3e0aedb5fc25 watch_date:1.71579802961437e+15],false,true,40e122b0-4581-46a8-a526-166b05982642,false,,,
,,,Alert: Missing Persons Unit,user-series-41aa382b-4021-474a-bd7e-fa6bacecaf12,,,420207,,75120118,2024-09-28 23:35:54,,,,,,2025-05-30 03:13:29,,,30,1727566554793840,map[ep_id:1.0927948e+07 ep_no:10 s_no:3 uuid:cfe3c55c-7e2e-4198-8752-4bc121969cc3 watch_date:1.748574809248678e+15],false,true,41aa382b-4021-474a-bd7e-fa6bacecaf12,false,,,
,,,Shadowhunters,user-series-44ffa7c7-493b-4cc5-b187-c67e702788f7,,,295837,,75120118,2024-05-15 18:22:53,,,,,,2024-05-15 18:27:38,,,55,1715797373192450,map[ep_id:7.138346e+06 ep_no:22 s_no:3 uuid:0f5d8782-aa60-4b43-813c-8409b2ffc2c1 watch_date:1.715797657807846e+15],false,true,44ffa7c7-493b-4cc5-b187-c67e702788f7,false,,,
,,,Doctor Who (2023),user-series-45347f77-ee7c-4f98-81fc-d94c21683a63,,,449991,,75120118,2024-05-17 18:49:52,,,,,,2025-06-01 10:33:45,,,16,1715971792286878,map[ep_id:1.1044828e+07 ep_no:8 s_no:2 uuid:0ba60e25-afd7-447a-be59-53b6842bbddc watch_date:1.748774025013427e+15],false,true,45347f77-ee7c-4f98-81fc-d94c21683a63,false,,,
,,,Heels,user-series-4650a0e0-fb38-4fdc-bf6b-9885adb38880,,,349345,,75120118,2025-07-03 06:03:45,,,,,,2025-08-03 21:20:05,,,16,1752301377784722,map[ep_id:9.86263e+06 ep_no:8 s_no:2 uuid:f7d0c7e1-86d4-4b8c-ad7f-f2284336d61b watch_date:1.754256005802381e+15],false,true,4650a0e0-fb38-4fdc-bf6b-9885adb38880,false,,,
,,,Marvel's Jessica Jones,user-series-48800cbd-5592-4ff5-99c1-7b3598ad103b,,,284190,,75120118,2024-05-15 18:23:14,,,,,,2024-05-15 18:26:54,,,39,1715797394739269,map[ep_id:7.21105e+06 ep_no:13 s_no:3 uuid:15f5125a-8098-4f44-93d3-2fbe3444b033 watch_date:1.715797614649914e+15],false,true,48800cbd-5592-4ff5-99c1-7b3598ad103b,false,,,
,,,Lie to Me,user-series-4ad14e52-6c5f-4d0c-a3e9-42b05409be8d,,,83602,,75120118,2026-02-05 21:18:01,,,,,,2026-02-10 03:53:00,,,48,1770326281798029,map[ep_id:3.296801e+06 ep_no:13 s_no:3 uuid:62abcf34-faca-4643-8f86-33cb4ad919ba watch_date:1.770695580984589e+15],false,true,4ad14e52-6c5f-4d0c-a3e9-42b05409be8d,false,,,
,,,Queen of the South,user-series-5074488e-405d-4bcf-af6b-80dba7d79803,,,306719,,75120118,2024-05-15 18:24:14,,,,,,2024-05-15 18:24:27,,,62,1715797454273141,map[ep_id:8.400392e+06 ep_no:10 s_no:5 uuid:a1edc395-4c77-4977-ac60-cdb739cae208 watch_date:1.715797467374412e+15],false,true,5074488e-405d-4bcf-af6b-80dba7d79803,false,,,
,,,The Acolyte,user-series-525ddea1-4543-4cb8-b06e-e22ea7aae2df,,,393197,,75120118,2024-06-11 22:29:39,,,,,,2024-07-17 23:18:54,,,8,1718144979613880,map[ep_id:1.0326096e+07 ep_no:8 s_no:1 uuid:ff322006-20bb-40b5-811c-4fa3720f6271 watch_date:1.721258334049889e+15],false,true,525ddea1-4543-4cb8-b06e-e22ea7aae2df,false,,,
,,,The Sandman,user-series-5313bc71-e5b4-4306-a60e-cd9a7011df32,,,366211,,75120118,2024-05-15 18:29:54,,,,,,2025-08-02 02:47:34,,,23,1715797794902284,map[ep_id:1.117574e+07 ep_no:12 s_no:2 uuid:02788c68-7577-4566-8131-1211ae71e0e3 watch_date:1.754102854292625e+15],false,true,5313bc71-e5b4-4306-a60e-cd9a7011df32,false,,,
,,,Stranger Things,user-series-53b351ca-a2da-4c7e-b581-c7d2bdbaf798,,,305288,,75120118,2024-05-15 04:12:57,,,,,,2026-01-02 10:29:02,,,42,1715746377170261,map[ep_id:1.0788054e+07 ep_no:8 s_no:5 uuid:1d8537af-de3b-4fa2-8a22-8dc496e3082c watch_date:1.7673497420973e+15],false,true,53b351ca-a2da-4c7e-b581-c7d2bdbaf798,false,,,
,,,Lucifer,user-series-5468fa91-c611-46ca-8bef-088d8e637892,,,295685,,75120118,2024-05-15 04:13:04,,,,,,2024-05-15 18:15:37,,,93,1715746384231341,map[ep_id:8.316987e+06 ep_no:10 s_no:6 uuid:81ccbdfa-c750-49fe-8467-3eaed9ec68b4 watch_date:1.715796936982194e+15],false,true,5468fa91-c611-46ca-8bef-088d8e637892,false,,,
,,,DC's Legends of Tomorrow,user-series-589d3e1f-2057-4cfb-bb7f-f5a0616865d1,,,295760,,75120118,2024-05-15 18:23:46,,,,,,2024-05-15 18:25:20,,,110,1715797426197253,map[ep_id:8.824073e+06 ep_no:13 s_no:7 uuid:b4769491-03d9-4f77-a06c-e71b3f2bfb61 watch_date:1.715797519608276e+15],false,true,589d3e1f-2057-4cfb-bb7f-f5a0616865d1,false,,,
,,,The War Between the Land and the Sea,user-series-5aad0b6b-f328-4e3d-b3b6-d5044237fb48,,,444613,,75120118,2025-12-17 06:54:55,,,,,,2025-12-23 07:54:59,,,5,1765954495921704,map[ep_id:1.0652667e+07 ep_no:5 s_no:1 uuid:14b3df84-d26a-4bb1-9b58-069fc0755eeb watch_date:1.766476499364592e+15],false,true,5aad0b6b-f328-4e3d-b3b6-d5044237fb48,false,,,
,,,A Man on the Inside,user-series-5b090ee3-d7e2-49f2-83db-e8df9101f864,,,445646,,75120118,2024-12-25 03:21:29,,,,,,2025-11-23 03:00:01,,,16,1735096889078719,map[ep_id:1.1240893e+07 ep_no:8 s_no:2 uuid:e0e8da61-9e9a-4aa8-b8ea-2f1f9fb0393b watch_date:1.763866801363676e+15],false,true,5b090ee3-d7e2-49f2-83db-e8df9101f864,false,,,
,,,Quantico,user-series-5d61deed-3c8b-4277-b5ec-8300253a50a5,,,295515,,75120118,2024-05-15 18:30:59,,,,,,2024-05-15 18:33:18,,,57,1715797859893948,map[ep_id:6.502175e+06 ep_no:13 s_no:3 uuid:44ad3198-2c82-4646-bbe7-40a18bbf5346 watch_date:1.715797997451849e+15],false,true,5d61deed-3c8b-4277-b5ec-8300253a50a5,false,,,
,,,Who Killed Sara?,user-series-5da77d77-f427-4308-a267-615e29c32724,,,397412,,75120118,2024-05-29 10:51:59,,,,,,2024-05-29 10:52:54,,,25,1716979919380737,map[ep_id:8.998738e+06 ep_no:7 s_no:3 uuid:3c5c1008-0501-4aac-a725-8817fe7a7337 watch_date:1.716979974290469e+15],false,true,5da77d77-f427-4308-a267-615e29c32724,false,,,
,,,Tom Clancy's Jack Ryan,user-series-5df4a784-ec9e-4db2-8a44-4f6e68b326f0,,,336261,,75120118,2024-05-15 18:23:59,,,,,,2024-05-15 18:24:55,,,30,1715797439542106,map[ep_id:9.78258e+06 ep_no:6 s_no:4 uuid:677c1aac-8bc2-4163-a583-9efe73d4629d watch_date:1.715797494884899e+15],false,true,5df4a784-ec9e-4db2-8a44-4f6e68b326f0,false,,,
,,,Star Wars: Skeleton Crew,user-series-5e41ce00-8ad3-47e7-ab50-708e5d779caa,,,420600,,75120118,2024-11-28 04:18:08,,,,,,2025-01-16 14:56:17,,,8,1732767488585566,map[ep_id:1.0616462e+07 ep_no:8 s_no:1 uuid:5009c1f2-cdc3-4f55-83f0-9a2f7753728e watch_date:1.737039377242714e+15],false,true,5e41ce00-8ad3-47e7-ab50-708e5d779caa,false,,,
,,,Turn of the Tide,user-series-608870fa-705a-4735-9acd-d19683b53dee,,,420415,,75120118,2025-10-19 14:52:57,,,,,,2026-04-11 18:26:25,,,18,1760885577882543,map[ep_id:1.1729151e+07 ep_no:6 s_no:3 uuid:19ee283d-098c-4cc5-b982-d5cf7c9535cf watch_date:1.775931985187466e+15],false,true,608870fa-705a-4735-9acd-d19683b53dee,false,,,
,,,Fear the Walking Dead,user-series-60cc10a1-0121-4f92-a4de-70b1b0f3dc85,,,290853,,75120118,2024-05-15 18:30:46,,,,,,2024-05-15 18:33:32,,,113,1715797846863306,map[ep_id:9.899428e+06 ep_no:12 s_no:8 uuid:7a4dafd7-72dc-42e4-b758-50cd77ad9919 watch_date:1.715798010410109e+15],false,true,60cc10a1-0121-4f92-a4de-70b1b0f3dc85,false,,,
,,,The Peripheral,user-series-60eaf837-45b5-480e-8ecb-f5d013b09617,,,349187,,75120118,2024-05-15 18:24:03,,,,,,2024-05-15 18:24:48,,,8,1715797443784483,map[ep_id:9.342112e+06 ep_no:8 s_no:1 uuid:04797a82-bbb7-4913-a72b-190bdda92d51 watch_date:1.715797488407684e+15],false,true,60eaf837-45b5-480e-8ecb-f5d013b09617,false,,,
,,,House of the Dragon,user-series-613466e5-f140-4ea5-ba53-7a3ce3cdbebc,,,371572,,75120118,2024-05-15 04:15:37,,,,,,2026-07-02 10:48:56,,,20,1715746537772407,map[ep_id:1.1763803e+07 ep_no:2 s_no:3 uuid:7a5dde42-238a-4f1f-bb52-692cff44c68e watch_date:1.78298933685985e+15],false,true,613466e5-f140-4ea5-ba53-7a3ce3cdbebc,false,,,
,,,Last Samurai Standing,user-series-61dc7a05-8cc4-418e-b97a-237b773c4bd1,,,449162,,75120118,2025-11-25 05:47:17,,,,,,2025-11-25 05:47:20,,,6,1764049637871913,map[ep_id:1.1427205e+07 ep_no:6 s_no:1 uuid:4c1f294a-5c44-44b2-b46a-3f6514acf65c watch_date:1.764049640063566e+15],false,true,61dc7a05-8cc4-418e-b97a-237b773c4bd1,false,,,
,,,True Blood,user-series-6523c175-db9a-42b7-b840-e945194a0919,,,82283,,75120118,2024-05-29 20:55:30,,,,,,2024-06-01 17:44:50,,,80,1717016130022675,map[ep_id:4.851188e+06 ep_no:10 s_no:7 uuid:ff531dae-74f7-47db-8dc9-3ee0443295a9 watch_date:1.717263890963924e+15],false,true,6523c175-db9a-42b7-b840-e945194a0919,false,,,
,,,,user-series-67cbe415-e38b-4f93-83c8-85a3be719b22,,,349078,,75120118,2024-05-29 20:55:20,,,,,,2024-05-29 20:55:20,,,0,1717016120999079,,false,true,67cbe415-e38b-4f93-83c8-85a3be719b22,false,,,
,,,Citadel,user-series-69091005-d334-419d-b444-ebd2e51f69fb,,,393268,,75120118,2025-06-06 20:33:20,,,,,,2026-05-12 22:23:01,,,13,1749242000670579,map[ep_id:1.1753174e+07 ep_no:7 s_no:2 uuid:b7f1e01e-daa3-429f-9645-196689170ab9 watch_date:1.778624581244868e+15],false,true,69091005-d334-419d-b444-ebd2e51f69fb,false,,,
,,,Supergirl,user-series-69594873-4c31-4b36-859b-8328a46aad53,,,295759,,75120118,2024-05-15 18:23:22,,,,,,2024-05-15 18:26:41,,,126,1715797402684052,map[ep_id:8.409271e+06 ep_no:20 s_no:6 uuid:3960766b-688a-44b8-b4ac-bcd34ef90d94 watch_date:1.715797599097902e+15],false,true,69594873-4c31-4b36-859b-8328a46aad53,false,,,
,,,Ozark,user-series-6b3e86be-fee9-4b89-8d6f-eed668c12e3d,,,329089,,75120118,2024-05-15 18:29:57,,,,,,2024-05-15 18:33:55,,,44,1715797797520851,map[ep_id:9.138258e+06 ep_no:14 s_no:4 uuid:853dc08f-9603-4568-a7a8-966b309cfd32 watch_date:1.715798035124739e+15],false,true,6b3e86be-fee9-4b89-8d6f-eed668c12e3d,false,,,
,,,Scorpion,user-series-6b85513d-82bc-4148-b59b-8f97f6a5be2b,,,281630,,75120118,2024-05-15 18:31:58,,,,,,2024-05-15 18:32:20,,,94,1715797918831621,map[ep_id:6.581109e+06 ep_no:22 s_no:4 uuid:c970e884-75d3-4979-b3d8-67665431598f watch_date:1.715797939194079e+15],false,true,6b85513d-82bc-4148-b59b-8f97f6a5be2b,false,,,
